Quota,temp_2,vento_10,vento_50,vento_75,vento_100,vento_125,vento_150,dens_50,dens_75,dens_100,dens_125,dens_150,prod_50,prod_75,prod_100,prod_125,prod_150,weib_50,weib_75,weib_100,weib_125,weib_150,onshore,Dist_cp,lat,long,id_cella,Shape_Area,dist_AT_km,dist_AAT_km,dist_linea_km
320.0,12.3421500206,3.67356284595,6.99994283744,7.64703714539,7.9858628869,8.06173428922,8.05627430396,513.35156829,735.131282227,917.81914502,1022.96714076,1077.52957888,3630.14428711,3593.69712612,4063.13285914,0.0,0.0,1.51703000069,1.4165699482,1.34391999245,0.0,0.0,1.0,2.662,45.616,13.887,698343,2023178.94599,2.5875061533742763,6.758999516692486,0.6214013732575107
1.0,15.1319525719,3.51187284315,4.54766716049,4.72613714737,4.82239284886,4.82693285283,4.80601427495,131.397285906,150.121000802,163.780142264,170.71514202,179.781204114,1529.57714844,1449.95713449,1825.36632613,0.0,0.0,1.66124999523,1.632619977,1.60066998005,0.0,0.0,1.0,2.591,45.661,13.069,699147,2023179.08822,2.5293541140746805,18.283165893598,0.20612320878107174
3.0,15.838151741,4.00078859089,4.68691287685,4.80137003224,4.85763143444,4.85464714305,4.83170712263,149.203429635,162.858571254,172.584285522,177.965284651,186.434264529,1648.99000767,1511.32999581,1836.90326551,0.0,0.0,1.63171005249,1.60949003696,1.58352994919,0.0,0.0,1.0,1.766,45.661,13.087,699148,2023179.08823,1.7059846297821688,17.392103259946676,0.5172035942822326
1.0,15.9803545952,4.53542714033,4.86210425749,4.89329427732,4.89721712803,4.87172856509,4.83815426289,167.899999564,176.472714321,182.775856515,186.530000401,194.170755717,1781.78142439,1573.58429129,1877.39959184,0.0,0.0,1.6230700016,1.59493994713,1.56473994255,0.0,0.0,1.0,1.891,45.66,13.105,699149,2023178.94599,1.896096480647049,16.66102255772042,0.9695863774953756
55.0,15.6891472816,4.04029712078,5.42089573281,5.86779428092,6.20829143433,6.38056142157,6.46394287151,351.260284563,477.101142648,604.819287667,697.705855259,762.031004016,2269.09284319,2279.7342899,2889.99795799,0.0,0.0,1.21222996712,1.16357004642,1.13207995892,0.0,0.0,1.0,0.451,45.634,13.779,699186,2023178.94599,1.8337232864630704,5.205899471901346,1.8337232864630704
36.0,15.4555566788,3.601277156,5.62529427279,6.15659712945,6.52196713098,6.67407856733,6.74420140252,369.11471603,528.705713728,683.350711286,784.197144322,849.865286492,2491.50714983,2531.09570871,3125.03285734,0.0,0.0,1.23416996002,1.17333996296,1.13663995266,0.0,0.0,1.0,0.791,45.633,13.797,699187,2023179.08823,0.7501328729296803,4.299584029733367,0.7501328729296803
101.0,14.2668951035,3.09959712849,5.84113139518,6.48054139919,6.8855842577,7.02436717394,7.07887715485,382.645001814,575.071572405,756.233570661,867.837570103,936.866966179,2694.90429688,2781.9828683,3304.90305923,0.0,0.0,1.27454996109,1.20401000977,1.15988004208,0.0,0.0,1.0,1.167,45.632,13.815,699188,2023179.08822,0.6527746342909292,3.7068008628533318,0.6846786878993694
134.0,13.7721546173,3.06042429101,6.1724385769,6.85122571311,7.24772572229,7.37085568514,7.40453146024,425.366427281,641.125287946,836.213854213,953.981431292,1021.56327049,3003.5128697,3066.74856166,3591.13979452,0.0,0.0,1.32178997993,1.24311995506,1.19014000893,0.0,0.0,1.0,1.855,45.631,13.833,699189,2023178.94599,0.1723989591349579,3.586535756948026,0.2654667125425544
285.0,13.1954424859,3.15626429727,6.53391572702,7.20214287018,7.5621871315,7.66035711397,7.67335425293,476.718712821,702.929711217,897.378432478,1013.1471446,1076.33163524,3291.19712612,3285.30714286,3796.22306142,0.0,0.0,1.38116002083,1.29328000546,1.23207998276,0.0,0.0,1.0,1.763,45.631,13.851,699190,2023179.08822,0.030622241632469557,3.878829685381772,0.22879879064860406
400.0,12.6942961693,3.61802714514,6.87751713283,7.48924997517,7.80396283927,7.88028286133,7.88301998051,528.589860491,747.722286761,927.59742899,1033.34714565,1089.36469258,3520.32285854,3444.24569754,3926.6387779,0.0,0.0,1.43173003197,1.34402000904,1.28150999546,0.0,0.0,1.0,2.134,45.63,13.869,699191,2023179.08822,1.109120600130913,4.677744088017851,0.3404438129546398
476.0,12.151298809,3.91445430085,7.0260457438,7.59349142096,7.89721282464,7.98123141484,7.99404430235,531.810716169,731.108428711,895.103287388,995.471289132,1049.43876515,3600.25571987,3521.90715402,4008.10244659,0.0,0.0,1.50206005573,1.41224002838,1.34590005875,0.0,0.0,1.0,3.17,45.629,13.888,699192,2023178.94599,2.5763168337559166,5.766042848271033,0.34630759800904676
517.0,11.6164424896,4.1865286024,7.05044145211,7.58351717673,7.89557140664,8.00524000205,8.04001141449,506.55057244,682.511718471,832.699999512,929.132569615,982.932934241,3603.53428432,3548.68141462,4030.46183773,0.0,0.0,1.57717001438,1.48620998859,1.41577005386,0.0,0.0,1.0,4.426,45.628,13.906,699193,2023179.08823,3.966979397527856,6.930701170474801,0.4678361620469978
3.0,15.1119473457,3.24181858383,4.41080144976,4.61808857455,4.73110284542,4.74301857418,4.7267828797,113.382427769,134.175857213,149.465571533,157.278858032,166.71095886,1397.7542899,1342.04142718,1755.71183713,0.0,0.0,1.69779002666,1.65797996521,1.62006998062,0.0,0.0,1.0,1.99,45.674,13.07,699996,2023178.94599,1.2602042940782072,17.169326304124173,0.39052481710682935
3.0,15.2220433235,3.59493000277,4.57745142726,4.7219057421,4.78602998803,4.78047574129,4.75514287473,132.096143014,148.362857213,159.268715332,164.873858224,173.245796501,1540.74714007,1428.35286063,1780.04102111,0.0,0.0,1.67189002037,1.64128005505,1.6081700325,0.0,0.0,1.0,0.608,45.673,13.088,699997,2023178.94599,0.5599414702549296,16.314754493523974,0.146924366481144
5.0,15.937644291,4.44067002629,4.77081856624,4.80520859037,4.81229430987,4.78907140172,4.75816430727,153.468999547,161.512286377,167.578427944,171.233285069,178.935182281,1712.9057094,1508.76570871,1810.68142757,0.0,0.0,1.63663005829,1.60891997814,1.578799963,0.0,0.0,1.0,0.908,45.673,13.106,699998,2023178.80375,0.9151283756192946,15.441504735949637,0.7833020523991151
28.0,15.8348033905,4.54165712158,5.60674854712,5.9408757433,6.20118141826,6.33331858939,6.39966431549,428.261570905,537.383427874,646.415139648,725.209138742,780.074237514,2429.02141462,2345.26427316,2831.28877412,0.0,0.0,1.17346000671,1.13592004776,1.110049963,0.0,0.0,1.0,1.691,45.647,13.761,700034,2023178.94599,2.4839981456780684,5.728115361571872,2.4839981456780684
55.0,15.6729510307,4.21176854699,5.77488999113,6.20777139779,6.50647571444,6.62496287892,6.67909142984,436.570857003,579.410281529,716.01000286,803.936858398,859.646024554,2614.49285017,2574.12714844,3126.34102061,0.0,0.0,1.1953599453,1.14721000195,1.11591005325,0.0,0.0,1.0,0.973,45.646,13.78,700035,2023178.80375,1.823504005316573,4.425349422497646,1.823504005316573
109.0,15.2510550499,3.75957284948,5.96887711694,6.49328573188,6.82638997142,6.94038570513,6.98664282532,431.013999721,605.193571568,764.754429827,861.511858468,921.535202009,2809.91427176,2809.76001116,3260.11571409,0.0,0.0,1.25574994087,1.19045996666,1.14807999134,0.0,0.0,1.0,0.896,45.646,13.798,700036,2023178.94599,0.8000952611044976,3.2321512307849876,0.8000952611044976
165.0,13.8714960098,3.22050428866,6.19944714587,6.82576003167,7.19483858209,7.29777998705,7.32416853766,444.252143311,648.490715332,829.619713797,935.221998047,995.148033821,3029.36715262,3054.4214216,3548.43959403,0.0,0.0,1.32419002056,1.2459499836,1.19278001785,0.0,0.0,1.0,1.241,45.645,13.816,700037,2023178.94599,0.632187422270615,2.3649196260837706,0.702668104817266
330.0,13.351800251,3.74016001071,6.57518141848,7.15282003187,7.48549427898,7.57147999547,7.58538572224,507.726575753,709.118717983,883.622573172,986.007282924,1042.14060836,3283.16999163,3231.39000698,3723.89734634,0.0,0.0,1.35969996452,1.28322994709,1.22953999043,0.0,0.0,1.0,1.307,45.644,13.834,700038,2023178.80375,0.11731400162501862,2.146579695217822,0.20744364300543977
